,Country,Population,Year
1960,Australia,10276477.0,1960
1961,Australia,10483000.0,1961
1962,Australia,10742000.0,1962
1963,Australia,10950000.0,1963
1964,Australia,11167000.0,1964
1965,Australia,11388000.0,1965
1966,Australia,11651000.0,1966
1967,Australia,11799000.0,1967
1968,Australia,12009000.0,1968
1969,Australia,12263000.0,1969
1970,Australia,12507000.0,1970
1971,Australia,12937000.0,1971
1972,Australia,13177000.0,1972
1973,Australia,13380000.0,1973
1974,Australia,13723000.0,1974
1975,Australia,13893000.0,1975
1976,Australia,14033000.0,1976
1977,Australia,14192000.0,1977
1978,Australia,14358000.0,1978
1979,Australia,14514000.0,1979
1980,Australia,14692000.0,1980
1981,Australia,14927000.0,1981
1982,Australia,15178000.0,1982
1983,Australia,15369000.0,1983
1984,Australia,15544000.0,1984
1985,Australia,15758000.0,1985
1986,Australia,16018400.0,1986
1987,Australia,16263900.0,1987
1988,Australia,16532200.0,1988
1989,Australia,16814400.0,1989
1990,Australia,17065100.0,1990
1991,Australia,17284000.0,1991
1992,Australia,17495000.0,1992
1993,Australia,17667000.0,1993
1994,Australia,17855000.0,1994
1995,Australia,18072000.0,1995
1996,Australia,18311000.0,1996
1997,Australia,18517000.0,1997
1998,Australia,18711000.0,1998
1999,Australia,18926000.0,1999
2000,Australia,19153000.0,2000
2001,Australia,19413000.0,2001
2002,Australia,19651400.0,2002
2003,Australia,19895400.0,2003
2004,Australia,20127400.0,2004
2005,Australia,20394800.0,2005
2006,Australia,20697900.0,2006
2007,Australia,20827600.0,2007
2008,Australia,21249200.0,2008
2009,Australia,21691700.0,2009
2010,Australia,22031750.0,2010
2011,Australia,22340024.0,2011
2012,Australia,22733465.0,2012
2013,Australia,23128129.0,2013
2014,Australia,23475686.0,2014
2015,Australia,23815995.0,2015
2016,Australia,24190907.0,2016
2017,Australia,24601860.0,2017
2018,Australia,24982688.0,2018
2019,Australia,25365745.0,2019
2020,Australia,25687041.0,2020
1960,Canada,17909009.0,1960
1961,Canada,18271000.0,1961
1962,Canada,18614000.0,1962
1963,Canada,18964000.0,1963
1964,Canada,19325000.0,1964
1965,Canada,19678000.0,1965
1966,Canada,20048000.0,1966
1967,Canada,20412000.0,1967
1968,Canada,20744000.0,1968
1969,Canada,21028000.0,1969
1970,Canada,21324000.0,1970
1971,Canada,21962032.0,1971
1972,Canada,22218463.0,1972
1973,Canada,22491777.0,1973
1974,Canada,22807969.0,1974
1975,Canada,23143275.0,1975
1976,Canada,23449808.0,1976
1977,Canada,23725843.0,1977
1978,Canada,23963203.0,1978
1979,Canada,24201544.0,1979
1980,Canada,24515667.0,1980
1981,Canada,24819915.0,1981
1982,Canada,25116942.0,1982
1983,Canada,25366451.0,1983
1984,Canada,25607053.0,1984
1985,Canada,25842116.0,1985
1986,Canada,26100278.0,1986
1987,Canada,26446601.0,1987
1988,Canada,26791747.0,1988
1989,Canada,27276781.0,1989
1990,Canada,27691138.0,1990
1991,Canada,28037420.0,1991
1992,Canada,28371264.0,1992
1993,Canada,28684764.0,1993
1994,Canada,29000663.0,1994
1995,Canada,29302311.0,1995
1996,Canada,29610218.0,1996
1997,Canada,29905948.0,1997
1998,Canada,30155173.0,1998
1999,Canada,30401286.0,1999
2000,Canada,30685730.0,2000
2001,Canada,31020902.0,2001
2002,Canada,31360079.0,2002
2003,Canada,31644028.0,2003
2004,Canada,31940655.0,2004
2005,Canada,32243753.0,2005
2006,Canada,32571174.0,2006
2007,Canada,32889025.0,2007
2008,Canada,33247118.0,2008
2009,Canada,33628895.0,2009
2010,Canada,34004889.0,2010
2011,Canada,34339328.0,2011
2012,Canada,34714222.0,2012
2013,Canada,35082954.0,2013
2014,Canada,35437435.0,2014
2015,Canada,35702908.0,2015
2016,Canada,36109487.0,2016
2017,Canada,36545295.0,2017
2018,Canada,37065178.0,2018
2019,Canada,37593384.0,2019
2020,Canada,38005238.0,2020
